Serial_Number;Device_Name;Type;Groupe;State
3SQBLJ2;HGHARIANI;Desktop;Groupe Misfat Filtration;En Service
5B80XM2;HMEZNI2;Desktop;Groupe Misfat Filtration;En Service
3,60E+14;HP15-DW3084NK;PC Portable;Groupe Misfat Filtration;DON
2W9FR53;Iaouini;Desktop;Groupe Misfat Filtration;En Service
CYWZPP3;IAYARI;Desktop;Groupe Misfat Filtration;En Service
SC02YD2CLJV3Q;IMAC_12599;IMAC;Groupe Misfat Filtration;En Service
F03NPT3;JBENSAAD;Desktop;Groupe Misfat Filtration;En Service
00009XXW;JC21-038;Laptop;Groupe Misfat Filtration;En Service
BXTNT4J;JHAJRI;Mini Tower;Groupe Misfat Filtration;Hors Service
NCPFCG008185507;JHTRABELSI;Desktop;Groupe Misfat Filtration;En Service
3RSDB94;JSMATI;Desktop;Groupe Misfat Filtration;En Service
J8LBK4J;K56-PC;Mini Tower;Groupe Misfat Filtration;En Service
GEPY631008E8;KMattoussi;Desktop;Groupe Misfat Filtration;En Service
CZPSGB4;KTRABELSI;Desktop;Groupe Misfat Filtration;En Service
6W9FR53;KYAZIDI-1;Desktop;Groupe Misfat Filtration;En Service
PC19680A;Labo-BES02;Desktop;Groupe Misfat Filtration;En Service
7TFFBV3;LABO-RD-MICORV;Desktop;Groupe Misfat Filtration;En Service
B9C6W23;LaboRD-ABP;Desktop;Groupe Misfat Filtration;En Service
PC1967VD;LaboRD-BES;Desktop;Groupe Misfat Filtration;En Service
4WKCS23;LaboRD-BU01;Desktop;Groupe Misfat Filtration;En Service
PC1966YV;LaboRD-MT01;Desktop;Groupe Misfat Filtration;En Service
8J93G32;LAZER-P02;Mini Tower;Groupe Misfat Filtration;En Service
7Y93H5J;LBEJAOUI;Tower;Groupe Misfat Filtration;Hors Service
6J617T2;LBEJAOUI2;Desktop;Groupe Misfat Filtration;En Service
GMOJA6FW;LENOVO-RD-MONOBLOCK;PC Bureau;Groupe Misfat Filtration;En Service
CWGX35J;LOGEGARDIEN-M1;Mini Tower;Groupe Misfat Filtration;En Service
G3PFCG0006HP;LOGEGARDIEN-M2;Desktop;Groupe Misfat Filtration;En Service
BSY26K2;LogeGardien-M3;Desktop;Groupe Misfat Filtration;En Service
1MR2XN2;LOGEGARDIEN-PDR;Desktop;Groupe Misfat Filtration;En Service
GM0JA6FW;M3-BE04;Desktop;Groupe Misfat Filtration;En Service
B2CW224;M3-H39-PC;Desktop;Groupe Misfat Filtration;En Service
HN962443;Macpol-MIS3PLI;Lunch Box;Groupe Misfat Filtration;En Service
GQ4QH5J;MAG-MP-22;Mini Tower;Groupe Misfat Filtration;Hors Service
2HTX7Z1;MAG-MP-23;Mini Tower;Groupe Misfat Filtration;En Service
BSJ46K2;MAG-MP-32;Desktop;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
G3PFCG0006YR;MAG-MP-34;Desktop;Groupe Misfat Filtration;Hors Service
6R4QH5J;MAG-MP-35;Mini Tower;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
9KMR15J;MAG-PDR-12;Mini Tower;Groupe Misfat Filtration;En Service
32KKG4J;MAG-SF-12;Mini Tower;Groupe Misfat Filtration;En Service
GR4QH5J;MAG-SF-13;Mini Tower;Groupe Misfat Filtration;Hors Service
G3PFCG00072M;MAG-SF-32-old;Desktop;Groupe Misfat Filtration;En Service
GBVX7Z1;MAG-SF1-TOL;Mini Tower;Groupe Misfat Filtration;En Service
B8M3KZ1;MAG-VN;Mini Tower;Groupe Misfat Filtration;En Service
1262122;MAGMP-34;Mini Tower;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
J86S014;MAGMP3-ZONE-RETOUR;Desktop;Groupe Misfat Filtration;En Service
7MCWX4J;MAGPP;Mini Tower;Groupe Misfat Filtration;Hors Service
9Y93H5J;MaherBenOthmen;Tower;Groupe Misfat Filtration;En Service
6Z2NPT3;MAOUECHTATI;Desktop;Groupe Misfat Filtration;En Service
7GYMYR2;MAROUANI;Desktop;Groupe Misfat Filtration;En Service
25D0NN2;MAYDI;Desktop;Groupe Misfat Filtration;En Service
CY93H5J;MAyed;Tower;Groupe Misfat Filtration;En Service
9MCWX4J;MBENAYED;Mini Tower;Groupe Misfat Filtration;En Service
J795W34;MBENSMIDA;Desktop;Groupe Misfat Filtration;En Service
BY8F5Z1;MBENTAHER;Mini Tower;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
9HZ145J;MBENTAHER1;Mini Tower;Groupe Misfat Filtration;En Service
G0R8122;MBoussaoud;Mini Tower;Groupe Misfat Filtration;En Service
95R8B44;Med-adib-klai;Desktop;Groupe Misfat Filtration;En Service
DNSHBB2;MEDATRABELSI2;Mini Tower;Groupe Misfat Filtration;En Service
